BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
5x10^-5,0,0.698,0.9164,0.732732791122377,0.6980000000000002,0.8034317493438721,0.7024956345558167,0.6592999696731567
5x10^-5,1,0.7012,0.9218,0.7211301535562712,0.7012,0.7990273833274841,0.696610152721405,0.6614999771118164
5x10^-5,2,0.5672,0.8456,0.6439691584209425,0.5672,0.7225337028503418,0.5971107482910156,0.5194999575614929
5x10^-5,3,0.7309,0.9348,0.7509295831356129,0.7309,0.8259661197662354,0.7294809818267822,0.6972000002861023
5x10^-5,4,0.7123,0.93,0.7372571761134674,0.7122999999999999,0.8094951510429382,0.7082722187042236,0.6730999946594238
5x10^-5,5,0.7015,0.9235,0.7346829729353843,0.7015000000000001,0.8080576062202454,0.7056319117546082,0.6647999882698059
5x10^-5,6,0.7075,0.9261,0.7298136998590254,0.7075,0.8054906725883484,0.704124927520752,0.6679999828338623
5x10^-5,7,0.7018,0.9214,0.7247320607983414,0.7018000000000001,0.7910365462303162,0.6844958662986755,0.6559999585151672
5x10^-5,8,0.6827,0.9167,0.7203536896715015,0.6827,0.7994357347488403,0.6950339078903198,0.6474999785423279
5x10^-5,9,0.7219,0.932,0.7363414479127423,0.7219,0.8125823736190796,0.7121915817260742,0.6847999691963196
1x10^-5,0,0.7331,0.9365,0.7529359886227082,0.7331000000000001,0.8236004710197449,0.7281284928321838,0.6977999806404114
1x10^-5,1,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
1x10^-5,2,0.7581,0.9472,0.7591206771485807,0.7581,0.8377136588096619,0.7466030120849609,0.7258999943733215
1x10^-5,3,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
1x10^-5,4,0.7537,0.9468,0.7571329483877728,0.7537,0.8371500968933105,0.7457257509231567,0.7228999733924866
1x10^-5,5,0.7422,0.9431,0.7485495132204898,0.7422,0.8323573470115662,0.7382981777191162,0.7099999785423279
1x10^-5,6,0.759,0.9477,0.7597826258885959,0.7590000000000001,0.8360458016395569,0.7441937327384949,0.7249999642372131
1x10^-5,7,0.7333,0.939,0.7449360546053327,0.7333000000000002,0.8278927206993103,0.7324995994567871,0.699999988079071
1x10^-5,8,0.7102,0.9234,0.7383407737634516,0.7101999999999999,0.7883896231651306,0.6837752461433411,0.6617000102996826
1x10^-5,9,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
5x10^-4,0,0.2443,0.5087,0.5218846246214073,0.2443,0.5579788684844971,0.4076562225818634,0.19059999287128448
5x10^-4,1,0.2983,0.6006,0.6310552796357096,0.2983,0.652808427810669,0.5069999098777771,0.25049999356269836
5x10^-4,2,0.1859,0.4203,0.40409496566045194,0.1859,0.526817262172699,0.3779088258743286,0.13030000030994415
5x10^-4,3,0.1011,0.3191,0.3497414190770289,0.1011,0.625339686870575,0.4809412658214569,0.07360000163316727
5x10^-4,4,0.1271,0.3247,0.33001959725702007,0.12710000000000002,0.6002838015556335,0.4348354637622833,0.09519999474287033
5x10^-4,5,0.0832,0.2599,0.3080915193691594,0.08320000000000001,0.7336878776550293,0.5867170691490173,0.06839999556541443
5x10^-4,6,0.0724,0.2294,0.25026378706429225,0.0724,0.6271395087242126,0.48793476819992065,0.053999997675418854
5x10^-4,7,0.1513,0.4114,0.44860915079065344,0.1513,0.6791077256202698,0.5314984917640686,0.12719999253749847
5x10^-4,8,0.0736,0.231,0.2159132362583019,0.0736,0.7606006264686584,0.6278406977653503,0.06359999626874924
5x10^-4,9,0.0343,0.1285,0.1221520567631849,0.034300000000000004,0.7900285124778748,0.6582016944885254,0.02969999983906746
1x10^-4,0,0.6795,0.9159,0.7288151592033439,0.6794999999999999,0.7855404615402222,0.6760687828063965,0.6352999806404114
1x10^-4,1,0.6837,0.9112,0.7122693398715794,0.6837000000000001,0.790229082107544,0.6834533214569092,0.6428999900817871
1x10^-4,2,0.6666,0.9138,0.7163776390875752,0.6666,0.8051257729530334,0.6979959011077881,0.633899986743927
1x10^-4,3,0.6837,0.9173,0.7031004800936469,0.6837000000000001,0.7781103253364563,0.6681195497512817,0.6337000131607056
1x10^-4,4,0.6727,0.9082,0.7113863896636906,0.6727,0.7821974754333496,0.6753551959991455,0.625499963760376
1x10^-4,5,0.6623,0.9013,0.7246612630452635,0.6623,0.7803487181663513,0.6699577569961548,0.6205999851226807
1x10^-4,6,0.7062,0.925,0.7258115920671254,0.7062,0.7931129336357117,0.689174473285675,0.6609999537467957
1x10^-4,7,0.6377,0.8856,0.7118842046634061,0.6376999999999999,0.761825442314148,0.642137885093689,0.5906999707221985
1x10^-4,8,0.637,0.8884,0.6862068862140602,0.637,0.7493894100189209,0.632669985294342,0.5819000005722046
1x10^-4,9,0.7059,0.9271,0.7306898024539501,0.7059000000000001,0.8039093613624573,0.7008548378944397,0.6658999919891357
