BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
1x10^-5,0,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
1x10^-5,1,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
1x10^-5,2,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
1x10^-5,3,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
1x10^-5,4,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
1x10^-5,5,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
1x10^-5,6,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
1x10^-5,7,0.7591,0.9472,0.7598875721593676,0.7591,0.8393324613571167,0.7488633394241333,0.7265999913215637
5x10^-5,0,0.6822,0.9157,0.7094071202677662,0.6822,0.7959127426147461,0.6885462403297424,0.6412999629974365
5x10^-5,1,0.6906,0.9236,0.7341555478966016,0.6906,0.8048378825187683,0.6993210911750793,0.6554999947547913
5x10^-5,2,0.6065,0.8674,0.6901491119028191,0.6065,0.7508200407028198,0.6307029724121094,0.555899977684021
5x10^-5,3,0.5947,0.8638,0.6705347135386022,0.5947,0.7275374531745911,0.603220522403717,0.5407999753952026
5x10^-5,4,0.6395,0.8919,0.7091436022039767,0.6395000000000001,0.7731052041053772,0.6607807278633118,0.5920000076293945
5x10^-5,5,0.6209,0.8839,0.7206722589827146,0.6209,0.7626622915267944,0.642484724521637,0.5758999586105347
5x10^-5,6,0.6482,0.8998,0.7141960132602736,0.6482000000000001,0.7926210761070251,0.6824084520339966,0.6100000143051147
5x10^-5,7,0.6242,0.8736,0.6987161565484228,0.6242,0.7626631855964661,0.6476245522499084,0.578499972820282
1x10^-4,0,0.3276,0.5638,0.620552649552518,0.3276,0.6365005970001221,0.48984435200691223,0.2838999927043915
1x10^-4,1,0.5828,0.8531,0.665214047065736,0.5828,0.7101219296455383,0.5850984454154968,0.5202000141143799
1x10^-4,2,0.387,0.6951,0.6345456250014736,0.387,0.679774820804596,0.5368661880493164,0.33869999647140503
1x10^-4,3,0.5174,0.8012,0.6687603669637042,0.5174000000000001,0.6306856274604797,0.4982163608074188,0.42819997668266296
1x10^-4,4,0.4996,0.7782,0.6615060769709887,0.49959999999999993,0.7223974466323853,0.5956475734710693,0.4562999904155731
1x10^-4,5,0.4625,0.7566,0.6344604776822017,0.4625,0.6429300308227539,0.5022631883621216,0.39010000228881836
1x10^-4,6,0.5487,0.8262,0.6628463125415729,0.5487000000000001,0.7542410492897034,0.6339203119277954,0.5110999941825867
1x10^-4,7,0.4634,0.7617,0.6498297552011237,0.46340000000000003,0.6615843176841736,0.5222846865653992,0.40129998326301575
5x10^-4,0,0.0156,0.0885,0.012678663935267015,0.015600000000000001,0.8155247569084167,0.6809130907058716,0.013899999670684338
5x10^-4,1,0.0107,0.0619,0.006037529789194267,0.010700000000000001,0.8622209429740906,0.7642762660980225,0.010400000028312206
5x10^-4,2,0.042,0.1681,0.13807865586323387,0.042,0.7153064608573914,0.5759592652320862,0.03189999982714653
5x10^-4,3,0.0116,0.0654,0.008886819317457325,0.011600000000000001,0.9395999312400818,0.8911435604095459,0.011399999260902405
5x10^-4,4,0.0151,0.085,0.024291578592151333,0.0151,0.8207374811172485,0.7109445333480835,0.013599999248981476
5x10^-4,5,0.011,0.0543,0.0027316410323160174,0.011000000000000001,0.9928355813026428,0.9885978102684021,0.010799999348819256
5x10^-4,6,0.0193,0.0956,0.03356908622180788,0.0193,0.7304925322532654,0.5828810334205627,0.01489999983459711
5x10^-4,7,0.0153,0.0715,0.014704895073539778,0.015300000000000003,0.7925902605056763,0.6501950621604919,0.013899999670684338
