BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
1x10^-5,0,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,1,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,2,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,3,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,4,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,5,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,6,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
1x10^-5,7,0.7508,0.9448,0.7528669142754316,0.7508000000000001,0.846737802028656,0.7574325203895569,0.7246999740600586
5x10^-5,0,0.5405,0.8221,0.6833502826967803,0.5405,0.7350670695304871,0.6101281046867371,0.49549999833106995
5x10^-5,1,0.698,0.9215,0.7246561495209966,0.698,0.8056966662406921,0.7026515603065491,0.6620999574661255
5x10^-5,2,0.6406,0.8853,0.6965867418427775,0.6406000000000001,0.7896689176559448,0.6792131662368774,0.6049999594688416
5x10^-5,3,0.6134,0.8707,0.7033926037962374,0.6134000000000001,0.7876803278923035,0.6744857430458069,0.5759999752044678
5x10^-5,4,0.6542,0.8926,0.7076679811237142,0.6542,0.7874471545219421,0.6764660477638245,0.6133999824523926
5x10^-5,5,0.6289,0.872,0.6999866640384511,0.6289,0.7861120104789734,0.6739604473114014,0.5927000045776367
5x10^-5,6,0.7011,0.9219,0.7253945654316561,0.7011000000000001,0.8206661939620972,0.7200677394866943,0.6674999594688416
5x10^-5,7,0.6726,0.9069,0.721042481749106,0.6726,0.8091209530830383,0.7044246792793274,0.6403999924659729
1x10^-4,0,0.5757,0.8416,0.6675905312114148,0.5757,0.7369148135185242,0.6118643879890442,0.5256999731063843
1x10^-4,1,0.5344,0.8266,0.6731774909123588,0.5344,0.7543979287147522,0.6283764243125916,0.4943999946117401
1x10^-4,2,0.5563,0.8251,0.6810163982975479,0.5563,0.7501282095909119,0.6265166401863098,0.5145999789237976
1x10^-4,3,0.3615,0.6978,0.6525253054717165,0.36150000000000004,0.7219777703285217,0.591360330581665,0.3211999833583832
1x10^-4,4,0.5732,0.8377,0.6809071609156863,0.5732,0.7344406247138977,0.6132193207740784,0.5271999835968018
1x10^-4,5,0.5983,0.8604,0.678373795642429,0.5982999999999999,0.7319926619529724,0.6105912327766418,0.5424000024795532
1x10^-4,6,0.4389,0.7216,0.6387652937426228,0.4389,0.6968462467193604,0.5584190487861633,0.39559999108314514
1x10^-4,7,0.3209,0.6151,0.6974100067572152,0.3209,0.6952983140945435,0.5537833571434021,0.2839999794960022
5x10^-4,0,0.038,0.1268,0.07850899696706148,0.038,0.6717391014099121,0.5217856168746948,0.02979999966919422
5x10^-4,1,0.0532,0.1663,0.11824511011773382,0.053200000000000004,0.708487868309021,0.5606177449226379,0.045899998396635056
5x10^-4,2,0.0446,0.2085,0.19369814018930653,0.0446,0.8039002418518066,0.6936007738113403,0.03969999775290489
5x10^-4,3,0.0141,0.0646,0.0065463453737866165,0.014100000000000001,0.8300715684890747,0.7021400332450867,0.013299999758601189
5x10^-4,4,0.0539,0.1553,0.10204489393414033,0.0539,0.5870715379714966,0.4228815734386444,0.03849999979138374
5x10^-4,5,0.0651,0.1947,0.1277894821928038,0.0651,0.6716130375862122,0.5141675472259521,0.05309999734163284
5x10^-4,6,0.0099,0.0557,0.0003078505304209163,0.0099,0.9707063436508179,0.9476151466369629,0.00989999994635582
5x10^-4,7,0.0363,0.1469,0.08689931544925295,0.0363,0.8116174340248108,0.7036052942276001,0.032499998807907104
