BER_power,Iteration,Accuracy
-5,0,0.6728
-5,1,0.614
-5,2,0.7049
-5,3,0.7272
-5,4,0.4404
-5,5,0.6231
-5,6,0.6569
-5,7,0.7138
-5,8,0.7174
-5,9,0.6168
