BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
1x10^-5,0,0.7465,0.944,0.7508325849377421,0.7464999999999999,0.8593268394470215,0.7735140323638916,0.7245000004768372
1x10^-5,1,0.7455,0.9425,0.7501910150294012,0.7455000000000002,0.8607004880905151,0.7745583653450012,0.7246999740600586
1x10^-5,2,0.7461,0.9458,0.7505917106648096,0.7461,0.8607330918312073,0.7747476696968079,0.7240999937057495
1x10^-5,3,0.7494,0.945,0.7539114346616063,0.7494,0.8572986125946045,0.7711309194564819,0.7258999943733215
1x10^-5,4,0.7556,0.9474,0.7568001784989551,0.7556,0.8633840084075928,0.7790051698684692,0.7355999946594238
1x10^-5,5,0.7495,0.9445,0.7543921343237042,0.7494999999999999,0.8589203357696533,0.7717779278755188,0.7269999980926514
1x10^-5,6,0.7456,0.9454,0.7549992117006147,0.7456,0.858202338218689,0.771086573600769,0.7233999967575073
1x10^-5,7,0.7304,0.9349,0.7403328821168972,0.7303999999999999,0.854880154132843,0.7656230330467224,0.7080999612808228
5x10^-5,0,0.6784,0.9157,0.7198566287962135,0.6784,0.8375926613807678,0.7417153120040894,0.6545000076293945
5x10^-5,1,0.7128,0.9296,0.7416263797310083,0.7128,0.8471014499664307,0.7542497515678406,0.6897000074386597
5x10^-5,2,0.6638,0.9078,0.7179980994198032,0.6638,0.8233349919319153,0.7235413193702698,0.6384999752044678
5x10^-5,3,0.6227,0.8717,0.7129730688365297,0.6226999999999999,0.81023108959198,0.70396488904953,0.5968999862670898
5x10^-5,4,0.2197,0.4477,0.44835548194938896,0.2197,0.6018391847610474,0.44232669472694397,0.18649999797344208
5x10^-5,5,0.717,0.9316,0.7397532204633984,0.7170000000000001,0.8485769033432007,0.7582951784133911,0.6943999528884888
5x10^-5,6,0.6956,0.9206,0.7220659115087906,0.6956,0.8361464142799377,0.7406373620033264,0.6699000000953674
5x10^-5,7,0.7344,0.939,0.7510676315025088,0.7343999999999999,0.8591370582580566,0.772312581539154,0.7149999737739563
1x10^-4,0,0.6671,0.9011,0.7015246732653774,0.6671000000000001,0.8201921582221985,0.7193111181259155,0.6366999745368958
1x10^-4,1,0.6159,0.873,0.6969533112165778,0.6159,0.8026623725891113,0.6923239231109619,0.585599958896637
1x10^-4,2,0.5319,0.8157,0.6877226329413065,0.5319,0.7862187623977661,0.6684908270835876,0.5019999742507935
1x10^-4,3,0.6691,0.905,0.7114412993362947,0.6691000000000001,0.8285993337631226,0.7289335131645203,0.6402999758720398
1x10^-4,4,0.6418,0.8879,0.7051486434925681,0.6418,0.8062731027603149,0.6980579495429993,0.6110999584197998
1x10^-4,5,0.6195,0.875,0.6807518308714857,0.6194999999999999,0.8017812967300415,0.6942524909973145,0.5910999774932861
1x10^-4,6,0.6656,0.9048,0.7110799672977021,0.6655999999999999,0.8137393593788147,0.709307849407196,0.6349999904632568
1x10^-4,7,0.5409,0.823,0.6965867434304442,0.5409,0.7930033802986145,0.675790011882782,0.5103999972343445
5x10^-4,0,0.114,0.3276,0.3745022676082929,0.11399999999999999,0.7206680774688721,0.5798324346542358,0.10009999573230743
5x10^-4,1,0.1009,0.2673,0.22075742066907747,0.1009,0.69935142993927,0.5476800799369812,0.09059999883174896
5x10^-4,2,0.0708,0.2745,0.31446605722168913,0.0708,0.8281611800193787,0.715593159198761,0.0648999959230423
5x10^-4,3,0.0636,0.2797,0.33772173901319674,0.0636,0.8629065155982971,0.7662285566329956,0.05889999866485596
5x10^-4,4,0.1682,0.3797,0.4025780499484218,0.16820000000000002,0.5867395997047424,0.4248136579990387,0.13429999351501465
5x10^-4,5,0.0981,0.2614,0.25267116855757177,0.0981,0.6275601387023926,0.46159446239471436,0.08159999549388885
5x10^-4,6,0.0756,0.2408,0.3189437354978698,0.0756,0.7329158782958984,0.5856503248214722,0.06610000133514404
5x10^-4,7,0.0843,0.2184,0.11812000233078208,0.0843,0.5859282612800598,0.4189508259296417,0.06419999897480011
