BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
1x10^-5,0,0.7556,0.9474,0.7568001784989551,0.7556,0.8633840084075928,0.7790051698684692,0.7355999946594238
1x10^-5,1,0.7556,0.9474,0.7568001784989551,0.7556,0.8633840084075928,0.7790051698684692,0.7355999946594238
1x10^-5,2,0.7556,0.9474,0.7568001784989551,0.7556,0.8633840084075928,0.7790051698684692,0.7355999946594238
1x10^-5,3,0.7297,0.938,0.7376030789779465,0.7297,0.850638747215271,0.7608519196510315,0.7037999629974365
1x10^-5,4,0.7351,0.9363,0.7409093262026428,0.7351,0.853956401348114,0.7650879621505737,0.7127999663352966
1x10^-5,5,0.7556,0.9474,0.7568001784989551,0.7556,0.8633840084075928,0.7790051698684692,0.7355999946594238
1x10^-5,6,0.7556,0.9474,0.7568001784989551,0.7556,0.8633840084075928,0.7790051698684692,0.7355999946594238
1x10^-5,7,0.6994,0.9179,0.7314308462507353,0.6994,0.839813232421875,0.744803786277771,0.6735999584197998
5x10^-5,0,0.6784,0.9097,0.7182439638032887,0.6784,0.8296459913253784,0.7316434979438782,0.6513000130653381
5x10^-5,1,0.5049,0.7723,0.6490408834237773,0.5048999999999999,0.7727726697921753,0.6525883078575134,0.4765999913215637
5x10^-5,2,0.6625,0.9019,0.7167039022476798,0.6625,0.8155049085617065,0.7130820155143738,0.6347000002861023
5x10^-5,3,0.6929,0.9213,0.7200658385478732,0.6929,0.8338409662246704,0.7369006872177124,0.6667999625205994
5x10^-5,4,0.692,0.9184,0.7291275595633344,0.6920000000000001,0.827838122844696,0.7286573648452759,0.6650999784469604
5x10^-5,5,0.6534,0.8948,0.707332317024875,0.6533999999999999,0.8194996118545532,0.7164623141288757,0.625
5x10^-5,6,0.5376,0.831,0.6554557426947732,0.5376,0.7837001085281372,0.6670305132865906,0.5069000124931335
5x10^-5,7,0.6324,0.8906,0.7275125303508785,0.6324,0.8151031732559204,0.7086636424064636,0.6022999882698059
1x10^-4,0,0.5483,0.8146,0.6678648454354199,0.5483,0.747418224811554,0.6223631501197815,0.5044000148773193
1x10^-4,1,0.561,0.8355,0.6628515412843894,0.5609999999999999,0.7517185211181641,0.6310349702835083,0.5189999938011169
1x10^-4,2,0.4749,0.7624,0.6638671309312308,0.47489999999999993,0.7676713466644287,0.6424582004547119,0.44919997453689575
1x10^-4,3,0.3482,0.6582,0.6295452277729922,0.34820000000000007,0.6911784410476685,0.5454278588294983,0.3084999918937683
1x10^-4,4,0.5759,0.8503,0.6972938253928627,0.5759000000000001,0.7910743355751038,0.6744455099105835,0.5455999970436096
1x10^-4,5,0.4555,0.7486,0.6529391283514573,0.45549999999999996,0.7536120414733887,0.6219007968902588,0.4229999780654907
1x10^-4,6,0.4624,0.7693,0.6544693402028008,0.46240000000000003,0.7325094938278198,0.5991487503051758,0.42329999804496765
1x10^-4,7,0.4912,0.7935,0.675946072397392,0.4912000000000001,0.767451286315918,0.6438162922859192,0.46059998869895935
5x10^-4,0,0.0194,0.0785,0.011070289497010258,0.0194,0.8299769163131714,0.7200638651847839,0.018299998715519905
5x10^-4,1,0.035,0.1479,0.1146090716197833,0.035,0.7790814638137817,0.6478995084762573,0.030399998649954796
5x10^-4,2,0.0185,0.0975,0.03919255764194989,0.018500000000000003,0.8567618727684021,0.7596432566642761,0.016999999061226845
5x10^-4,3,0.0108,0.1141,0.014780446291046998,0.0108,0.9897536635398865,0.9832432866096497,0.010599999688565731
5x10^-4,4,0.0201,0.0893,0.008267581821411504,0.0201,0.8319288492202759,0.7107061147689819,0.01979999989271164
5x10^-4,5,0.0393,0.15,0.11628607311017895,0.0393,0.7109015583992004,0.5629766583442688,0.031300000846385956
5x10^-4,6,0.0245,0.1425,0.12229982626747347,0.0245,0.8512439727783203,0.7636169195175171,0.020800000056624413
5x10^-4,7,0.0481,0.1418,0.06495458455911236,0.048100000000000004,0.7159543633460999,0.5628493428230286,0.04089999943971634
