BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
1x10^-9,0,0.8114,0.9671,0.8128334631090367,0.8113999999999999,0.8677210211753845,0.7972003221511841,0.7831000089645386
1x10^-9,1,0.8114,0.9671,0.8128334631090367,0.8113999999999999,0.8677210211753845,0.7972003221511841,0.7831000089645386
5x10^-5,0,0.6893,0.9117,0.7474326015951619,0.6893000000000001,0.7808331847190857,0.6835370659828186,0.6383000016212463
5x10^-5,1,0.7617,0.9449,0.774051983035407,0.7616999999999999,0.793542742729187,0.7055497169494629,0.7042999863624573
