BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
1x10^-9,0,0.8114,0.9671,0.8128334631090367,0.8113999999999999,0.8677210211753845,0.7972003221511841,0.7831000089645386
1x10^-9,1,0.8114,0.9671,0.8128334631090367,0.8113999999999999,0.8677210211753845,0.7972003221511841,0.7831000089645386
5x10^-5,0,0.8114,0.9671,0.8128334631090367,0.8113999999999999,0.8677210211753845,0.7972003221511841,0.7831000089645386
5x10^-5,1,0.6549,0.8817,0.7240398732051668,0.6549000000000001,0.6745028495788574,0.5733587145805359,0.5526999831199646
5x10^-4,0,0.0072,0.0552,0.002339074576454157,0.007200000000000002,0.29558035731315613,0.17709830403327942,0.000699999975040555
