BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
1x10^-5,0,0.7479,0.9462,0.749239482657842,0.7478999999999999,0.7619618773460388,0.655081570148468,0.6743999719619751
1x10^-5,1,0.7479,0.9462,0.749239482657842,0.7478999999999999,0.7619618773460388,0.655081570148468,0.6743999719619751
1x10^-5,2,0.7479,0.9462,0.749239482657842,0.7478999999999999,0.7619618773460388,0.655081570148468,0.6743999719619751
1x10^-5,3,0.7471,0.9461,0.7490547277926956,0.7471,0.7598256468772888,0.6527398824691772,0.6718999743461609
1x10^-5,4,0.7479,0.9462,0.749239482657842,0.7478999999999999,0.7619618773460388,0.655081570148468,0.6743999719619751
1x10^-5,5,0.7457,0.944,0.7477036274082672,0.7456999999999999,0.7570378184318542,0.6494923233985901,0.6696000099182129
1x10^-5,6,0.7412,0.943,0.7454732746216343,0.7412000000000001,0.7581949234008789,0.6509871482849121,0.6687999963760376
1x10^-5,7,0.7479,0.9462,0.749239482657842,0.7478999999999999,0.7619618773460388,0.655081570148468,0.6743999719619751
5x10^-5,0,0.7383,0.9422,0.7425909119451504,0.7383,0.7582101225852966,0.6512346267700195,0.6669999957084656
5x10^-5,1,0.6903,0.9195,0.7203915054851214,0.6903,0.7257891893386841,0.6100775003433228,0.6107000112533569
5x10^-5,2,0.7347,0.9412,0.7404644244165226,0.7347,0.7481339573860168,0.6394578814506531,0.6588000059127808
5x10^-5,3,0.735,0.9413,0.7428615937453873,0.735,0.7513142824172974,0.6424421072006226,0.6581999659538269
5x10^-5,4,0.7404,0.9406,0.7478333093073257,0.7404,0.7551124095916748,0.6479522585868835,0.666700005531311
5x10^-5,5,0.7355,0.9403,0.7408379868776824,0.7355000000000002,0.7508695125579834,0.6417382955551147,0.6620999574661255
5x10^-5,6,0.7427,0.9425,0.7482351104455549,0.7427000000000001,0.7590259313583374,0.6505748629570007,0.6687999963760376
5x10^-5,7,0.7395,0.9439,0.7418516642753201,0.7395,0.7582112550735474,0.6507413387298584,0.6687999963760376
1x10^-4,0,0.7233,0.9359,0.7308785454415366,0.7232999999999999,0.7436004877090454,0.6325982213020325,0.6487999558448792
1x10^-4,1,0.7247,0.937,0.7372820239061876,0.7247,0.7556366920471191,0.6456158757209778,0.6560999751091003
1x10^-4,2,0.7258,0.9398,0.7338931951951774,0.7258000000000001,0.7482131123542786,0.6384732127189636,0.649899959564209
1x10^-4,3,0.7261,0.9402,0.7345074576488676,0.7261,0.7426809072494507,0.6312148571014404,0.6478999853134155
1x10^-4,4,0.7159,0.9346,0.7286785248661076,0.7159000000000001,0.7344437837600708,0.6233545541763306,0.6385999917984009
1x10^-4,5,0.7135,0.934,0.7263769081288355,0.7134999999999999,0.7432104349136353,0.6311611533164978,0.640999972820282
1x10^-4,6,0.7292,0.9405,0.7367910161232465,0.7292000000000001,0.7491907477378845,0.6393805146217346,0.6556999683380127
1x10^-4,7,0.7195,0.9367,0.7331755733833825,0.7195,0.7471550703048706,0.6358367800712585,0.6473000049591064
5x10^-4,0,0.583,0.8477,0.6743766568115447,0.5830000000000001,0.6756700873374939,0.5463106036186218,0.4967999756336212
5x10^-4,1,0.4098,0.7093,0.5947918390347997,0.40980000000000005,0.5424500107765198,0.4023796319961548,0.3017999827861786
5x10^-4,2,0.5718,0.8691,0.6751761562917582,0.5718,0.6492810845375061,0.5223221778869629,0.47029998898506165
5x10^-4,3,0.366,0.6161,0.6112529722383908,0.36600000000000005,0.5557377338409424,0.41028890013694763,0.2865000069141388
5x10^-4,4,0.3368,0.6239,0.6423008774970063,0.3368000000000001,0.5442273020744324,0.39336490631103516,0.24819999933242798
5x10^-4,5,0.561,0.8542,0.6640347419449398,0.5609999999999999,0.6344172954559326,0.503148078918457,0.4594999849796295
5x10^-4,6,0.5289,0.8135,0.6249673777760562,0.5289,0.5438075065612793,0.4167606234550476,0.38850000500679016
5x10^-4,7,0.4311,0.7395,0.6249852582973612,0.4311,0.5750168561935425,0.4383084177970886,0.33480000495910645
