BER_power,Iteration,Accuracy,Tacc,Precision,Recall,Confidence,Sub-Confidence,Acc_50
1x10^-5,0,0.7479,0.9462,0.749239482657842,0.7479,0.761961877346039,0.655081570148468,0.674399971961975
1x10^-5,1,0.7479,0.9462,0.749239482657842,0.7479,0.761961877346039,0.655081570148468,0.674399971961975
1x10^-5,2,0.7479,0.9462,0.749239482657842,0.7479,0.761961877346039,0.655081570148468,0.674399971961975
1x10^-5,3,0.7479,0.9462,0.749239482657842,0.7479,0.761961877346039,0.655081570148468,0.674399971961975
1x10^-5,4,0.7479,0.9462,0.749239482657842,0.7479,0.761961877346039,0.655081570148468,0.674399971961975
1x10^-5,5,0.7479,0.9462,0.749239482657842,0.7479,0.761961877346039,0.655081570148468,0.674399971961975
1x10^-5,6,0.7479,0.9462,0.749239482657842,0.7479,0.761961877346039,0.655081570148468,0.674399971961975
1x10^-5,7,0.7479,0.9462,0.749239482657842,0.7479,0.761961877346039,0.655081570148468,0.674399971961975
5x10^-5,0,0.7386,0.9425,0.741429818663299,0.7386,0.758074104785919,0.6498202085495,0.666299998760223
5x10^-5,1,0.7376,0.9407,0.744505770302643,0.7376,0.752303183078766,0.644214034080505,0.660699963569641
5x10^-5,2,0.7389,0.9435,0.74424328206305,0.7389,0.750201642513275,0.641612768173218,0.661199986934662
5x10^-5,3,0.7381,0.9403,0.743686398497689,0.7381,0.750433146953583,0.642248749732971,0.660199999809265
5x10^-5,4,0.7283,0.9391,0.734931527364125,0.7283,0.751722753047943,0.643249034881592,0.658699989318848
5x10^-5,5,0.7278,0.9384,0.736109499897086,0.7278,0.752860307693481,0.642641484737396,0.654599964618683
5x10^-5,6,0.7345,0.9399,0.739340001254174,0.7345,0.754131734371185,0.645798623561859,0.663199961185455
5x10^-5,7,0.7227,0.9363,0.73357563515298,0.7227,0.739681959152222,0.628792762756348,0.644800007343292
1x10^-4,0,0.7278,0.9388,0.738902915050559,0.7278,0.748200535774231,0.636745810508728,0.654799997806549
1x10^-4,1,0.661,0.9063,0.679926024255225,0.661,0.70173043012619,0.582296431064606,0.577300012111664
1x10^-4,2,0.7082,0.9307,0.729466848159664,0.7082,0.732675790786743,0.61853700876236,0.627900004386902
1x10^-4,3,0.701,0.9263,0.717484279798927,0.701,0.72066742181778,0.605099141597748,0.615399956703186
1x10^-4,4,0.7007,0.9232,0.718574301804817,0.7007,0.729712069034576,0.617883026599884,0.621299982070923
1x10^-4,5,0.598,0.8526,0.684517403843184,0.598,0.650587201118469,0.523609697818756,0.501599967479706
1x10^-4,6,0.6995,0.9238,0.72110244752497,0.6995,0.731267035007477,0.616811335086823,0.62279999256134
1x10^-4,7,0.687,0.9182,0.71020461257988,0.687,0.719592571258545,0.606749773025513,0.611000001430512
5x10^-4,0,0.5058,0.7959,0.635720627176474,0.5058,0.583087384700775,0.451823174953461,0.393199980258942
5x10^-4,1,0.4194,0.7299,0.609342063172454,0.4194,0.587762832641602,0.447518289089203,0.326799988746643
5x10^-4,2,0.3123,0.6004,0.619883557604799,0.3123,0.538695573806763,0.392850965261459,0.23199999332428
5x10^-4,3,0.3549,0.6663,0.627528820442457,0.3549,0.626538634300232,0.47439631819725,0.283699989318848
5x10^-4,4,0.2894,0.5935,0.609810949894714,0.2894,0.564257085323334,0.419121891260147,0.221499994397163
5x10^-4,5,0.5944,0.8628,0.656515684238773,0.5944,0.608262598514557,0.482902109622955,0.471299976110458
5x10^-4,6,0.1372,0.3424,0.26358388839061,0.1372,0.388825654983521,0.23859640955925,0.0742999985814095
5x10^-4,7,0.193,0.4137,0.460822736772095,0.193,0.466709792613983,0.313581258058548,0.132100000977516
